                 from  n    params  module                                  arguments
  0                -1  1      3520  models.common.Conv                      [3, 32, 6, 2, 2]
  1                -1  1     18560  models.common.Conv                      [32, 64, 3, 2]
  2                -1  1     18816  models.common.C3                        [64, 64, 1]
  3                -1  1     73984  models.common.Conv                      [64, 128, 3, 2]
  4                -1  1    115712  models.common.C3                        [128, 128, 2]
  5                -1  1    295424  models.common.Conv                      [128, 256, 3, 2]
  6                -1  1    625152  models.common.C3                        [256, 256, 3]
  7                -1  1   1180672  models.common.Conv                      [256, 512, 3, 2]
  8                -1  1   1182720  models.common.C3                        [512, 512, 1]
  9                -1  1    656896  models.common.SPPF                      [512, 512, 5]
 10                -4  1      3520  models.common.Conv                      [3, 32, 6, 2, 2]
 11                -1  1     18560  models.common.Conv                      [32, 64, 3, 2]
 12                -1  1     18816  models.common.C3                        [64, 64, 1]
 13                -1  1     73984  models.common.Conv                      [64, 128, 3, 2]
 14                -1  1    115712  models.common.C3                        [128, 128, 2]
 15                -1  1    295424  models.common.Conv                      [128, 256, 3, 2]
 16                -1  1    625152  models.common.C3                        [256, 256, 3]
 17                -1  1   1180672  models.common.Conv                      [256, 512, 3, 2]
 18                -1  1   1182720  models.common.C3                        [512, 512, 1]
 19                -1  1    656896  models.common.SPPF                      [512, 512, 5]
 20           [4, 14]  1         0  models.common.Add                       [128]
 21           [6, 16]  1         0  models.common.Add                       [256]
 22           [9, 19]  1         0  models.common.Add                       [512]
 23                -1  1    131584  models.common.Conv                      [512, 256, 1, 1]
 24                -1  1         0  torch.nn.modules.upsampling.Upsample    [None, 2, 'nearest']
 25          [-1, 21]  1         0  models.common.Concat                    [1]
 26                -1  1    361984  models.common.C3                        [512, 256, 1, False]
 27                -1  1     33024  models.common.Conv                      [256, 128, 1, 1]
 28                -1  1         0  torch.nn.modules.upsampling.Upsample    [None, 2, 'nearest']
 29          [-1, 20]  1         0  models.common.Concat                    [1]
 30                -1  1     90880  models.common.C3                        [256, 128, 1, False]
 31                -1  1    147712  models.common.Conv                      [128, 128, 3, 2]
 32          [-1, 27]  1         0  models.common.Concat                    [1]
 33                -1  1    296448  models.common.C3                        [256, 256, 1, False]
 34                -1  1    590336  models.common.Conv                      [256, 256, 3, 2]
 35          [-1, 23]  1         0  models.common.Concat                    [1]
 36                -1  1   1182720  models.common.C3                        [512, 512, 1, False]
 37      [30, 33, 36]  1     16182  Detect                                  [1, [[10, 13, 16, 30, 33, 23], [30, 61, 62, 45, 59, 119], [116, 90, 156, 198, 373, 326]], [128, 256, 512]]
